source,target,ligand_complex,receptor_complex,magnitude_rank_mcao,magnitude_rank_sham,magnitude_rank_diff
Pericyte,Oligodendrocyte,CXCL2,CXCR2,1.0,1.0,0.0
Pericyte,Oligodendrocyte,CXCL2,XCR1,1.0,1.0,0.0
Pericyte,Oligodendrocyte,CXCL1,CXCR1,1.0,1.0,0.0
Pericyte,Oligodendrocyte,CXCL10,ACKR1,1.0,1.0,0.0
Pericyte,Oligodendrocyte,CCL8,CCR3,1.0,1.0,0.0
Pericyte,Pericyte,B2M,KLRC1,1.0,1.0,0.0
Pericyte,Pericyte,B2M,KLRC2,1.0,1.0,0.0
Pericyte,Oligodendrocyte,CXCL1,ACKR1,1.0,1.0,0.0
Pericyte,Oligodendrocyte,CSF2,CSF1R,1.0,1.0,0.0
Pericyte,Oligodendrocyte,IL6,F3,1.0,1.0,0.0
Pericyte,Oligodendrocyte,CXCL2,ACKR1,1.0,1.0,0.0
Pericyte,Oligodendrocyte,CXCL10,CCR3,1.0,1.0,0.0
Pericyte,Pericyte,TNF,FAS,1.0,1.0,0.0
Pericyte,Pericyte,TNF,VSIR,1.0,1.0,0.0
Pericyte,Oligodendrocyte,CXCL1,CXCR2,1.0,1.0,0.0
Pericyte,Oligodendrocyte,CXCL10,SDC4,1.0,1.0,0.0
Oligodendrocyte,Pericyte,CCL8,CCR3,1.0,1.0,0.0
Pericyte,Pericyte,CCL2,ACKR1,1.0,1.0,0.0
Pericyte,Pericyte,CCL2,CCR1,1.0,1.0,0.0
Oligodendrocyte,Pericyte,CCL8,CCR2,1.0,1.0,0.0
Oligodendrocyte,Pericyte,CCL8,CCR1,1.0,1.0,0.0
Pericyte,Oligodendrocyte,TNF,FAS,1.0,1.0,0.0
Pericyte,Oligodendrocyte,TNF,VSIR,1.0,1.0,0.0
Oligodendrocyte,Oligodendrocyte,CCL8,CCR1,1.0,1.0,0.0
Oligodendrocyte,Oligodendrocyte,CXCL2,XCR1,1.0,1.0,0.0
Oligodendrocyte,Pericyte,CCL2,ACKR1,1.0,1.0,0.0
Oligodendrocyte,Pericyte,CSF2,CSF1R,1.0,1.0,0.0
Oligodendrocyte,Pericyte,CXCL1,ACKR1,1.0,1.0,0.0
Oligodendrocyte,Pericyte,CXCL1,CXCR1,1.0,1.0,0.0
Oligodendrocyte,Pericyte,CCL2,CCR1,1.0,1.0,0.0
