,Endothelial_Sham,Endothelial_MCAO,Astrocyte_Sham,Astrocyte_MCAO,Microglia_Sham,Microglia_MCAO,Oligodendrocyte_Sham,Oligodendrocyte_MCAO,Pericyte_Sham,Pericyte_MCAO
4933433G15RIK,0.0009972078181092938,0.0029915488744297384,0.0031824611032531826,0.0032258064516129045,0.008297004640697509,0.015740487270736358,0.0,0.002881844380403458,0.0005906674542232723,0.002332814930015552
A130057D12RIK,0.001927935115011303,0.002692393986986764,0.00388967468175389,0.0013196480938416422,0.01181268457319647,0.008212428141253756,0.005535055350553505,0.0019212295869356388,0.0035440047253396337,0.002332814930015552
LEO1,0.01748437707751631,0.06551492035001169,0.05975954738330957,0.08724340175953114,0.028125439459991644,0.09321105940323082,0.07564575645756463,0.13832853025936578,0.03248670998228001,0.08786936236391904
TMOD3,0.3357266320967703,0.5312242913768092,0.11881188118811836,0.21319648093842028,0.10912670510476769,0.18751710922529333,0.12915129151291524,0.13544668587896236,0.2870643827525079,0.4440124416796303
TMOD2,0.014426273101981139,0.03933886769875128,0.10961810466760923,0.15791788856305167,0.013781465335395884,0.0384615384615385,2.204797047970481,2.266090297790595,0.04311872415829893,0.06298600311042005
LYSMD2,0.19000132961041322,0.2618353152344477,0.21181046676096346,0.16524926686217234,0.017859654057094682,0.02696413906378328,0.22324723247232497,0.24879923150816485,0.11754282339043133,0.13763608087091705
SCG3,0.027456455258609267,0.06005534365417718,0.9777227722772228,0.7491202346040969,0.016453382084095095,0.039967150287435006,0.14022140221402227,0.12872238232468766,0.020673360897814547,0.032270606531881796
BMP5,0.0006648052120728626,0.0013461969934933811,0.012376237623762377,0.005425219941348978,0.0009843903810997047,0.0013687380235422938,0.0036900369003690036,0.0019212295869356388,0.044890726520968746,0.04160186625194405
GM26903,0.00013296104241457252,0.0,0.0010608203677510608,0.0002932551319648094,0.0,0.0001368738023542294,0.0036900369003690036,0.0,0.0017720023626698169,0.00038880248833592535
HMGCLL1,0.00039888312724371757,0.0009722533841896641,0.009547383309759547,0.010703812316715555,0.0001406271972999578,0.0009581166164796058,0.005535055350553505,0.005763688760806916,0.004725339633786178,0.002332814930015552
MLIP,0.0,0.0,0.0017680339462517681,0.0004398826979472141,0.0001406271972999578,0.0,0.0,0.0038424591738712775,0.0,0.0
5730403I07RIK,0.0,0.0,0.0,0.0,0.0,0.00041062140706268815,0.014760147601476013,0.008645533141210374,0.0,0.0007776049766718507
LRRC1,0.0033240260603643167,0.005609154139555755,0.031471004243281406,0.01803519061583577,0.0028125439459991573,0.0020531070353134403,0.12730627306273076,0.07877041306436108,0.005906674542232723,0.006998444790046655
KLHL31,0.00019944156362185878,0.0007478872186074339,0.007425742574257426,0.0048387096774193585,0.000703135986499789,0.0005474952094169176,0.0,0.0019212295869356388,0.005316007088009451,0.004665629860031104
