,Endothelial_Sham,Endothelial_MCAO,Astrocyte_Sham,Astrocyte_MCAO,Microglia_Sham,Microglia_MCAO,Oligodendrocyte_Sham,Oligodendrocyte_MCAO,Pericyte_Sham,Pericyte_MCAO
ERCC5,0.06960392,0.091606185,0.051850148,0.05307158,0.110962845,0.115027286,0.045582872,0.08062423,0.059540585,0.076911554
GULP1,0.070895866,0.054207124,0.055493545,0.03448919,0.0069174897,0.0039798203,0.003800957,0.0062795775,0.047138456,0.031062175
COL3A1,0.0032146396,0.0075225187,0.0179429,0.01205146,0.0027480912,0.007181571,0.0030717067,0.004351211,0.25176442,0.228658
COL5A2,0.006236,0.005756624,0.019680576,0.011657969,0.0018586436,0.0018006527,0.0,0.0023809527,0.05961611,0.041978166
WDR75,0.04155504,0.060767036,0.0370097,0.059238303,0.04019254,0.104170784,0.036811512,0.050567593,0.042238116,0.05884918
GM5269,0.0015654883,0.0008384269,0.0,0.0003833074,0.00028725932,0.0002478642,0.0,0.0,0.0,0.0
SLC40A1,1.0461938,0.6546666,0.11733939,0.10711904,0.48511526,0.20985727,0.107149266,0.075922266,0.16474093,0.11512073
DNAH7B,0.0017940917,0.0015886241,0.02653651,0.013146043,0.00027613644,0.0009628528,0.0,0.0,0.0075278515,0.0012258921
DNAH7C,0.0006292533,0.0007449888,0.0032094952,0.0026650866,0.00011067031,0.00023089047,0.0,0.0,0.001367876,0.0
SLC39A10,0.9622085,0.59099203,0.12812686,0.11298864,0.12720661,0.09662157,0.10816369,0.10000792,0.18579629,0.1256499
GM28151,0.0029552681,0.0038893092,0.0063542314,0.0027279055,0.0016641521,0.0025328146,0.0,0.0031208778,0.0013314227,0.004995958
4933411E06RIK,0.00031856535,0.0,0.0,0.00015367872,0.00021692358,0.0,0.0,0.0,0.0,0.0
TMEFF2,0.013876231,0.014964193,0.05682594,0.035971273,0.013318391,0.02019321,1.7567813,1.2725055,0.016751416,0.01925402
GM28322,0.0002792789,0.00033118908,0.0,0.0004781354,0.000227326,0.00065927627,0.0349266,0.030972948,0.0,0.0
GM29325,8.571242e-05,0.0005426004,0.0,0.000373042,0.00020591887,0.0,0.014492837,0.01852544,0.0,0.00038433034
9330175M20RIK,7.2604795e-05,0.0001144018,0.00033139635,0.0,0.0,0.00020999393,0.0,0.0,0.0,0.0
SDPR,1.4945998,1.1917487,0.19285369,0.1442968,0.106882736,0.08519319,0.2805053,0.22722879,0.18720564,0.18378669
NABP1,0.02165246,0.05092684,0.0615755,0.10722221,0.10666778,0.25244564,0.013172105,0.039294917,0.021280233,0.048848547
GM17767,0.0,0.0,0.0010495444,0.0011031271,0.0,0.0003629243,0.0,0.0,0.0,0.0
GM28055,0.0,0.0001504755,0.0,0.00014511208,0.0,0.0,0.0,0.0,0.0008048126,0.0
MYO1B,0.21367687,0.29864085,0.026962223,0.05573897,0.096289285,0.08272134,0.02471431,0.053430893,0.5709693,0.7672527
STAT4,0.002106156,0.0069546266,0.0028573582,0.011401299,0.00038680533,0.001640296,0.0,0.0028323445,0.0,0.0012712706
STAT1,0.51587427,0.3070911,0.22545935,0.2272733,0.4233401,0.21362321,0.13316469,0.13722633,0.20512772,0.1849617
GLS,0.10449805,0.10040525,0.08425576,0.105017066,0.11842321,0.13227344,0.052833557,0.05544027,0.11924302,0.102114394
NAB1,0.0988565,0.091883294,0.07528242,0.08902626,0.043517206,0.06083891,0.05428274,0.07205066,0.39755994,0.25669834
TMEM194B,0.0152865965,0.013362408,0.008633784,0.008839574,0.017083015,0.012403274,0.001682095,0.008218314,0.026272837,0.015997926
MFSD6,0.053165298,0.04743482,0.021092474,0.028165696,0.0141781885,0.014020932,0.27275556,0.23739892,0.02741564,0.014934006
INPP1,0.23920205,0.15835494,0.10355966,0.082560346,0.056174386,0.05445871,0.06592225,0.041629095,0.09463802,0.06838598
HIBCH,0.056796715,0.058282886,0.12146131,0.089143164,0.050870087,0.073706806,0.088187695,0.084651135,0.081729144,0.07145308
1700019D03RIK,0.0015952562,0.0032283345,0.034566924,0.02713637,0.0024198147,0.003108197,0.03531059,0.019035615,0.0049599744,0.003006125
PMS1,0.0106844,0.015102166,0.015281912,0.014715784,0.016802266,0.025298906,0.04184634,0.027104262,0.008718154,0.013962169
ORMDL1,0.10644265,0.07326867,0.10751724,0.08011415,0.23501985,0.15229018,0.17538029,0.0897224,0.080049954,0.064902805
OSGEPL1,0.071225725,0.073237084,0.07145422,0.0580595,0.046632856,0.04862742,0.09338413,0.07204591,0.08214588,0.07709195
GM28551,0.00055823504,0.00064818165,0.0021723588,0.00063138356,0.00026007995,0.0005037784,0.0018797332,0.0,0.0008283114,0.0023334627
ASNSD1,0.104044355,0.10515996,0.122426964,0.14042473,0.12723352,0.14755625,0.12825997,0.08083868,0.061228294,0.06735027
DNAH7A,0.0004980259,0.00041143622,0.025180005,0.011290668,0.00053582597,0.00042076642,0.0,0.0018325163,0.0010033067,0.00063205004
STK17B,0.07134611,0.09192536,0.18150583,0.30665755,0.19983622,0.23034847,0.032638952,0.056748495,0.039667547,0.057071555
HECW2,0.006591097,0.008653457,0.009149154,0.008856939,0.0025715656,0.0031624085,0.15996893,0.119102545,0.023268577,0.039768517
CCDC150,0.00018783411,0.0,0.0017055076,0.0012120138,0.0,0.00015325975,0.00338222,0.0,0.0,0.0
GTF3C3,0.055148415,0.0445647,0.038227763,0.04241957,0.039848838,0.04356249,0.054189015,0.047837023,0.06457629,0.05937244
PGAP1,0.011489497,0.011984481,0.023314526,0.01975527,0.018374577,0.020725802,0.05973918,0.06506974,0.0066427574,0.00841728
ANKRD44,0.10248894,0.08508217,0.11719115,0.12118386,0.45899686,0.22245729,0.09571237,0.08679226,0.11916013,0.16935909
4930444A19RIK,0.0007534248,0.00025492522,0.00018885176,0.00046087877,0.000370157,0.0,0.0,0.0,0.0010536836,0.0
SF3B1,0.78344357,0.8236477,0.57445174,0.7129205,0.8385423,0.9347125,0.76588863,0.89850396,0.73031074,0.77074325
COQ10B,0.25489008,0.24435957,0.23233871,0.22431569,0.1391949,0.19819571,0.09661756,0.103090644,0.3862654,0.33011183
HSPD1,0.25358585,0.4199025,0.4077646,0.49025038,0.30403262,0.81486124,0.526976,0.641745,0.39638457,0.48898435
HSPE1,0.37685022,0.5649188,1.0462799,0.93939316,0.7441201,1.1387475,0.7627696,0.81352556,0.6134928,0.5756886
MOB4,0.4458668,0.43967366,0.3425764,0.37486896,0.35905078,0.34598973,0.35398325,0.33909264,0.43618292,0.47159314
RFTN2,0.017389458,0.031508718,0.091086335,0.07717512,0.008832207,0.01349944,0.13766417,0.11965745,0.09671664,0.11701678
GM10561,0.005333264,0.012131862,0.14031155,0.10769044,0.0027579488,0.005851728,0.014567552,0.020107435,0.024284922,0.029196925
MARS2,0.017765913,0.025245233,0.028105324,0.032217227,0.0119020315,0.026830452,0.042611875,0.05165766,0.017390678,0.02656924
BOLL,0.00017855022,7.927774e-05,0.00020166581,0.00027051746,0.0002503427,0.00016987418,0.0,0.0,0.0,0.00073052174
PLCL1,0.011324779,0.020162707,0.05969325,0.060263976,0.050513405,0.041658096,0.51556593,0.64250296,0.16687131,0.19067572
SATB2,0.0009855917,0.0007843873,0.0010470282,0.00045257993,0.0010831911,0.0014045895,0.0016571961,0.0035982626,0.0,0.00040471452
