,ferroptosis_score,senescence_score,mg_activation,consensus_senescence,isp_index,condition
GSM5319987_sham1_1-645-0,0.7978758529605987,0.6786600496277916,4.073333333333333,-0.0949328909666717,-0.47898657450920423,Sham
GSM5319987_sham1_1-650-0,0.30657054809597184,0.5512158808933003,2.7577777777777777,-0.044789624491027,-1.0051994135022668,Sham
GSM5319987_sham1_1-653-0,0.20586616773057453,0.578908188585608,2.851111111111111,-0.15472779369627507,-1.11305889998942,Sham
GSM5319987_sham1_1-654-0,0.27294739159145937,0.6802977667493796,2.8088888888888888,-0.08633690242798975,-1.0412115152747536,Sham
GSM5319987_sham1_1-656-0,0.23695795729694036,0.06893300248138957,2.022222222222222,-0.08022922636103152,-1.6751303582464454,Sham
GSM5319987_sham1_1-659-0,0.6609068897204491,0.23786600496277915,22.133333333333333,0.0490122153521339,-1.2780324007028918,Sham
GSM5319987_sham1_1-669-0,0.4324785384107418,0.2517617866004963,2.891111111111111,0.050444880108580906,-1.2453686439131753,Sham
GSM5319987_sham1_1-672-0,0.99801893022232,1.624913151364764,28.42222222222222,-0.13218217463429346,-0.26462321256724985,Sham
GSM5319987_sham1_1-680-0,0.23541712524763372,0.37146401985111654,3.3022222222222224,-0.02654199969838636,-1.0814083293645014,Sham
GSM5319987_sham1_1-681-0,0.39241690512876953,0.9013895781637716,1.4777777777777776,-0.022244005429045394,-0.9132536217427263,Sham
GSM5319987_sham1_1-690-0,0.37029495927801015,0.6894789081885857,4.637777777777778,-0.08935742971887552,-0.9369473450038387,Sham
GSM5319987_sham1_1-695-0,0.20586616773057453,0.3684863523573201,1.948888888888889,-0.10028653295128939,-1.11305889998942,Sham
GSM5319987_sham1_1-720-0,0.17141756548536208,0.16580645161290322,16.855555555555558,-0.055873925501432664,-1.4474173109124218,Sham
GSM5319987_sham1_1-721-0,0.6051617873651772,1.0580645161290323,4.7844444444444445,-0.06092595385311417,-0.6853930890873522,Sham
GSM5319987_sham1_1-727-0,0.19662117543473479,0.26397022332506204,2.54,-0.12034383954154727,-1.2166712004479245,Sham
GSM5319987_sham1_1-732-0,0.2089478318291878,0.27325062034739456,2.442222222222222,-0.017946011159704428,-1.1948564771633639,Sham
GSM5319987_sham1_1-735-0,0.1840193704600484,0.3361786600496278,2.3622222222222224,-0.05481827778615593,-1.1364579252000213,Sham
GSM5319987_sham1_1-736-0,0.6621725731895224,0.976774193548387,19.9,-0.044789624491027,-0.6243316530214009,Sham
GSM5319987_sham1_1-740-0,0.8240699977988114,0.9213399503722085,3.673333333333333,-0.1121248680440356,-0.45093132010052384,Sham
GSM5319987_sham1_1-741-0,0.5334580673563725,0.7140446650124069,1.96,-0.10888252148997135,-0.7621914010506095,Sham
GSM5319987_sham1_1-744-0,0.964836011446181,0.17652605459057072,25.18888888888889,-0.06017191977077364,-1.4222195556746404,Sham
GSM5319987_sham1_1-748-0,0.7307946290997138,0.42228287841191064,3.9955555555555553,0.015005278238576378,-0.8445376855936544,Sham
GSM5319987_sham1_1-751-0,0.6097842835130971,0.49736972704714644,3.148888888888889,0.20079927612728093,-0.6804421618387615,Sham
GSM5319987_sham1_1-752-0,0.398580233325996,0.3515136476426799,3.0777777777777775,-0.02654199969838636,-1.0108895326727105,Sham
GSM5319987_sham1_1-755-0,0.7446621175434734,0.4790074441687345,1.6666666666666665,-0.10601719197707736,-0.7111995641270616,Sham
GSM5319987_sham1_1-759-0,0.3967642526964561,0.9091315136476427,2.7422222222222223,0.12132408384858995,-0.908597392544647,Sham
GSM5319987_sham1_1-760-0,0.1670702179176755,0.28089330024813897,4.02,-0.09350022621022472,-1.1768914109290196,Sham
