protein_A,protein_B,score
MYC,MAPK3,0
MAPK3,MYC,0
STAT3,MYC,0
MYC,STAT3,0
SIRT6,MYC,0
MYC,SIRT6,0
MYC,MAPK1,0
MYC,RELA,0
RPS6KB1,MYC,0
MYC,RPS6KB1,0
MYC,MDM4,0
SLC7A5,MYC,0
MYC,SLC7A5,0
MYC,MMP2,0
MMP2,MYC,0
TFRC,MYC,0
MYC,TFRC,0
TIMP1,MYC,0
MYC,TIMP1,0
MDM4,MYC,0
MYC,JAK2,0
PRNP,MYC,0
MYC,PRNP,0
MYC,MAP1LC3B,0
MAP1LC3B,MYC,0
MYC,KEAP1,0
KEAP1,MYC,0
TLR4,MYC,0
MYC,TLR4,0
MYC,PRKDC,0
PRKDC,MYC,0
MYC,PPARGC1A,0
PPARGC1A,MYC,0
JAK2,MYC,0
MYC,IL1B,0
IL1B,MYC,0
NFKB1,MYC,0
MYC,NFKB1,0
MYC,LMNB1,0
LMNB1,MYC,0
NFE2L2,MYC,0
MYC,NFE2L2,0
TNFRSF1A,MYC,0
MYC,TNFRSF1A,0
TFAM,MYC,0
MYC,TFAM,0
TSC2,MYC,0
MYC,TSC2,0
SERPINE1,MYC,0
MYC,SERPINE1,0
PRKDC,NFKB1,0
TERF1,PRKDC,0
KEAP1,SOD1,0
TFRC,SLC39A14,0
SOD1,MAPK3,0
MAPK3,SOD1,0
SOD1,MTOR,0
MTOR,SOD1,0
SOD1,MAP1LC3A,0
MAP1LC3A,SOD1,0
TFRC,SLC40A1,0
SLC40A1,TFRC,0
SLC39A14,TFRC,0
TFAM,SOD1,0
TFRC,SLC3A2,0
SLC3A2,TFRC,0
TFRC,STEAP3,0
STEAP3,TFRC,0
TFRC,NCOA4,0
NCOA4,TFRC,0
TNF,TFRC,0
TFRC,TNF,0
SOD1,TFAM,0
MAP1LC3B,SOD1,0
PRKDC,TSC2,0
TLR4,SOD1,0
SOD1,NOX4,0
NOX4,SOD1,0
TNF,SOD1,0
SOD1,TNF,0
SOD1,SIRT1,0
SIRT1,SOD1,0
SOD1,IL6,0
IL6,SOD1,0
SOD1,TLR4,0
SOD1,MAP1LC3B,0
SOD1,MIF,0
MIF,SOD1,0
SOD1,PRNP,0
PRNP,SOD1,0
SOD1,JUN,0
JUN,SOD1,0
SOD1,PTGS2,0
PTGS2,SOD1,0
TFRC,IL6,0
IL6,TFRC,0
TFRC,SLC39A8,0
PARP1,PRKDC,0
MTOR,TFRC,0
PRKDC,LIG4,0
LIG4,PRKDC,0
XRCC1,PRKDC,0
PRKDC,XRCC1,0
WRN,PRKDC,0
PRKDC,WRN,0
PRKDC,PARP1,0
PRKDC,NBN,0
SLC39A8,TFRC,0
NBN,PRKDC,0
PRKDC,LIG3,0
LIG3,PRKDC,0
RAD51,PRKDC,0
PRKDC,RAD51,0
RPS6KB1,PRKDC,0
PRKDC,RPS6KB1,0
TSC2,PRKDC,0
TFRC,MTOR,0
MAPK3,TFRC,0
TFRC,MAPK3,0
JAK2,TFRC,0
TFRC,PRNP,0
PRNP,TFRC,0
TFRC,IL1A,0
IL1A,TFRC,0
TFRC,MAP1LC3B,0
MAP1LC3B,TFRC,0
TFRC,SLC7A11,0
SLC7A11,TFRC,0
TFRC,STAT3,0
STAT3,TFRC,0
TFRC,IL1B,0
IL1B,TFRC,0
VCAM1,TFRC,0
TFRC,VCAM1,0
TFRC,MIF,0
MIF,TFRC,0
TFRC,JAK2,0
IL18,RELA,0
JUN,RELA,0
IL1A,STAT1,0
RGS4,TLR4,0
