,S1,S2,S3,I1_3hr,I2_3hr,I3_3hr,I1_6hr,I2_6hr,I3_6hr,I1_12hr,I2_12hr,I3_12hr,I1_24hr,I2_24hr,I3_24hr,S1,S2,S3
0610040B10RIK,1.1915102153770123,0.8884825420554234,0.6096631109073785,1.5349130184306217,1.2082959966684501,0.9891937448460817,0.7693452734786445,0.6109010736886172,1.032379650046189,1.016193697173268,1.2282310478044987,1.0404714716185601,0.600022150509619,1.0160423380956478,1.2417532993189566,1.1915102153770123,0.8884825420554234,0.6096631109073785
0610040F04RIK,0.7938266903099979,0.3335352811145586,0.7665559804939203,0.5009284485591369,0.45272095824695907,0.7375215744565048,0.48461708308457263,0.33754713365531086,0.5529588439600539,0.5857830665651618,0.6725871797334405,0.5226037319851514,0.7623477795042484,0.7325117604065043,0.8877117526965203,0.7938266903099979,0.3335352811145586,0.7665559804939203
0610040J01RIK,1.2483073295736111,1.4960440161913544,1.8713433744354213,1.1669544329258374,1.388370395953403,1.372300873561299,1.4280301067909924,1.5866007295733981,1.9185032091541736,1.5355897453434475,1.1797190371563446,1.4330823042977388,1.6744128831646496,1.7291623385637214,1.503209586990155,1.2483073295736111,1.4960440161913544,1.8713433744354213
0610043K17RIK,1.368471761227708,1.6882478362601057,1.1168125320579438,1.4435002080231423,1.528097697744517,1.4072898741728073,1.4896490688765756,1.70797304440886,1.23682295129304,1.4718927899294074,1.8408857980850284,1.3703593828304175,1.3044284140600007,1.1194963458763916,1.694867463748179,1.368471761227708,1.6882478362601057,1.1168125320579438
1110001J03RIK,3.3721514788535982,3.306058466488665,2.8815212875839262,2.7298410346272397,3.069162567752923,3.1087568636964766,2.800068128837298,2.542009580093128,2.9809685241970563,2.660282310747181,2.961891216889984,2.8578803204368963,2.765974527621043,2.680889778206351,2.635361675076833,3.3721514788535982,3.306058466488665,2.8815212875839262
1110002E22RIK,2.2086671009813177,2.17732396613459,2.3142580495617557,2.8414813101769383,2.5743143600398155,3.2063533697648645,3.4782914966657508,3.7655756150014534,3.2474136184124953,3.4256972878865457,3.2275330158881674,3.4374624997534826,2.8405822839096673,3.6934978251675052,3.203439262431952,2.2086671009813177,2.17732396613459,2.3142580495617557
1110002L01RIK,1.6888193638619124,2.0757893111127164,1.8942026183827896,1.6347194512221643,1.8727298306489817,1.8629312694949263,1.8412293490439273,1.9036192497353006,1.9685557353568328,1.7743301493708108,2.123331414139548,2.0281429585919803,1.5143310629607105,1.7805749743026942,1.6233277094233334,1.6888193638619124,2.0757893111127164,1.8942026183827896
1110004E09RIK,3.509185470102259,3.53224383260686,3.033394618533664,3.235893425895102,3.3813200910162573,3.3704889448321715,3.3578871952352354,3.4685525544785025,3.570045001158442,3.512679094052378,3.4173288812988316,3.241107653564181,2.9262784260218724,3.3759692259222454,3.33081067938463,3.509185470102259,3.53224383260686,3.033394618533664
1110004F10RIK,5.662124242173801,5.512295678009675,5.231872613945036,5.290280710895657,5.588618848506148,5.5491112794839905,5.4792404822922585,5.468719129647078,5.49669457268132,5.626901334338011,5.683153388468486,5.419319496300946,5.054576748016902,5.479969904066698,5.634157714352528,5.662124242173801,5.512295678009675,5.231872613945036
1110007C09RIK,1.6043137749370187,1.1567535022836073,1.5356019219568462,1.6754667172580906,2.157342414600097,1.5393312456314927,2.100186581348664,2.1115122867128644,2.2371015537778547,1.4500198029773705,1.6989297431470325,1.7708241966575193,2.188592369541328,2.076366895918151,2.047000858368563,1.6043137749370187,1.1567535022836073,1.5356019219568462
1110008F13RIK,3.4828002207340623,3.620869689794162,3.321752373659503,3.2893781134870115,3.6660084864668576,3.549511706082959,3.484358556488949,3.380001822020555,3.5591967843349805,3.736985253442228,3.6517635279395164,3.5177943352859593,3.276528865522203,3.905189567287223,3.5966797650518902,3.4828002207340623,3.620869689794162,3.321752373659503
1110008L16RIK,2.721199774250726,2.6436805047625884,2.5266554028513184,2.9227078723380004,2.711443130972284,2.5669068438860245,2.6353529624098266,2.542009580093128,2.6691245131902295,2.7345404781251825,2.767691441900745,2.490106013161213,2.7383653869233493,3.0011171143585713,2.7161796575864736,2.721199774250726,2.6436805047625884,2.5266554028513184
