,GSM2571735,GSM2571736,GSM2571737,GSM2571738,GSM2571739,GSM2571740,GSM2571741,GSM2571742,GSM2571743,GSM2571744,GSM2571745,GSM2571746
BSN,10.0823507,10.40342285,9.833614593,10.30588245,9.708380997,9.659144208,10.10769905,10.60141966,10.60833588,10.5412631,10.45849108,10.31217474
BSND,6.600602857,6.600428858,6.600698929,6.600207857,6.600400595,6.600624829,6.600555049,6.600536067,6.600550167,6.600153127,6.600324382,6.600425551
BSPRY,7.486540716,7.489432338,7.485605821,7.503434124,7.490601373,7.487085085,7.487551816,7.492802704,7.505702824,7.50605335,7.501493707,7.508543607
BST1,7.184011292,7.138450362,7.297191987,6.993593383,7.136634991,7.636870094,6.979413415,6.784503041,6.708808994,6.742112632,6.692155708,6.813270861
BST2,7.878360455,7.748579326,8.326549341,8.096407241,8.261741338,8.543476039,7.976453791,7.309186321,7.380920896,7.1445039,7.388143282,7.537659618
BTAF1,7.739936142,7.763924437,7.61870731,7.3891511,7.659159101,7.687903364,7.580464617,7.529741643,7.515162465,7.485341835,7.445875408,7.504224964
BTBD1,11.21546809,11.36563374,11.32240509,11.22521955,11.21659109,11.13618816,11.2255817,11.4060474,11.43308852,11.40385912,11.40129634,11.39690494
BTBD10,9.655038792,9.656231454,9.654761088,9.655645395,9.654964914,9.654679584,9.656031849,9.655931457,9.655697558,9.655788672,9.65586807,9.655731186
BTBD11,8.402689273,8.422507446,8.408801179,8.40388523,8.407140401,8.388692231,8.405330484,8.410909821,8.418001143,8.431763267,8.413612462,8.417816394
BTBD16,6.369833344,6.369308022,6.370317484,6.369733139,6.37038895,6.369546007,6.369875563,6.369890256,6.369712056,6.370091784,6.369407625,6.370046558
BTBD17,6.750902245,6.762268838,6.660240343,6.969604146,6.704197481,6.695417022,6.828117659,7.020349693,7.020522372,7.009442166,7.016983963,7.046816703
BTBD2,8.453334123,8.644198269,8.64372125,8.909124682,8.552811402,8.591005836,8.794944248,8.963873834,8.92695151,8.910061199,8.940574257,8.87980705
BTBD3,10.06802073,10.26715416,10.36592271,10.88892052,10.08889436,9.978082432,10.25862258,10.90604321,10.88176076,10.80581516,10.7963892,10.84561577
BTBD6,9.085454598,9.085432976,9.085696721,9.085852364,9.085622513,9.085635213,9.085666662,9.085767826,9.085728802,9.085719856,9.085805824,9.085925532
BTBD9,8.024847033,8.02503632,8.0249958,8.025089645,8.025247594,8.024993021,8.025080821,8.025435173,8.025590518,8.025573404,8.025193527,8.025355803
BTC,6.890544092,6.890363684,6.890416745,6.890374516,6.890306377,6.890512265,6.890596128,6.890408439,6.890127406,6.890287602,6.890345862,6.890440995
BTD,7.830443483,7.830303765,7.830713747,7.830662488,7.831152808,7.830991637,7.830705164,7.830520222,7.830448949,7.830733084,7.83032406,7.830634953
BTF3,11.42009753,10.95820454,11.38848935,11.0908917,11.33312875,11.49156661,11.16332999,10.71588383,10.65828721,10.68760003,10.63517005,10.84549208
BTF3L4,9.495458167,9.1148218,9.663904578,9.532735437,9.642821809,9.6875171,9.4803741,9.294615549,9.191373996,9.179297561,9.285212029,9.425716596
BTG1,10.85623146,10.86831927,10.98357934,10.59727919,10.78530389,11.00511482,10.63446951,10.55068625,10.62203663,10.40290147,10.41038971,10.64440794
BTG2,8.232637677,8.651821023,8.117970672,7.703494304,8.141118772,8.275322785,8.168759815,7.570891695,7.866261189,7.997445908,7.966662834,7.860360849
BTG3,8.861345547,8.861270979,8.861203327,8.861051089,8.861206808,8.861253568,8.86132057,8.860966928,8.861032086,8.861065201,8.860913568,8.861354321
BTG4,6.702315377,6.702126608,6.702144797,6.702344706,6.702235624,6.702281165,6.702261821,6.702396582,6.702669898,6.702461982,6.702521997,6.702586066
BTK,6.454102441,6.453704707,6.454089647,6.454121797,6.453880194,6.45408786,6.453914922,6.453789026,6.453597127,6.453642243,6.453602941,6.453913211
BTNL3,6.240829562,6.240751912,6.240777287,6.240799577,6.240665935,6.240628077,6.240623469,6.240920103,6.240683918,6.240593431,6.240596453,6.240587483
BTNL5,7.009412668,7.009535405,7.009351665,7.009489838,7.009388357,7.009551954,7.009522383,7.00982973,7.009479645,7.009330513,7.009756662,7.009630193
BTNL8,6.415135973,6.415141114,6.414879957,6.415053864,6.415078341,6.415108299,6.415086323,6.415207999,6.415018435,6.415074306,6.415023673,6.415097231
BTRC,8.525972096,8.572879038,8.614741682,8.706875709,8.607969313,8.58924718,8.638879887,8.711334193,8.647974797,8.716497933,8.601492964,8.693600294
BUB1,6.698280395,6.122139469,6.791826899,6.732040039,6.843933505,6.830867581,6.376913222,5.724303281,6.09464975,6.045940773,5.924098887,6.05143226
BUB1B,6.460934636,6.460507658,6.460817226,6.460882531,6.460856017,6.460991494,6.460800386,6.460628824,6.460417506,6.460496525,6.460449259,6.460645761
BUB3,9.816716655,9.512945753,9.867682572,9.581594092,9.878368438,9.838834178,9.625356337,9.476072781,9.47837056,9.511723497,9.429259456,9.514191671
