dataset,gene,mean_case,mean_control,log2FC,pvalue,padj
GSE37587,JAK2,265.0232509584527,396.8307405867441,-0.5806024126314555,0.00025223287598994727,0.003699415514519227
GSE37587,HSPB1,1389.1030331347138,780.4352264843751,0.8309936204608703,0.00038167376458571746,0.004955979227745347
GSE37587,CDK4,362.94573050257696,264.61060182321137,0.4544106071850368,0.0003942256203888344,0.004955979227745347
GSE37587,SERPINE1,82.3118512555383,91.62432551050223,-0.15286939570019223,0.0014457906038870592,0.01696394308560816
GSE37587,CCL2,84.30304423035285,101.70649680022521,-0.2678583102514095,0.002201967787518792,0.02296186628270253
GSE37587,IRF1,5080.547352525596,3820.586715762153,0.41109610362905674,0.002289108269726667,0.02296186628270253
GSE37587,HMGA1,399.9421442174709,302.0442022538664,0.4038658297884701,0.002348372688003668,0.02296186628270253
GSE37587,MMP13,90.26124392189043,83.21209366411969,0.11597488533205187,0.0025845659702761255,0.023160965942833463
GSE37587,PTEN,1185.3258119781106,1612.4561382237914,-0.4436540733104108,0.002631927948049257,0.023160965942833463
GSE37587,MNT,515.3479428691126,409.9476553277986,0.32938891687332017,0.0031292466694964587,0.026226067325303654
GSE37587,CHEK1,101.26943771631372,110.98771717490047,-0.13096543270257704,0.004457509108667714,0.03492938806954061
GSE37587,SOD1,2937.463393963484,2135.8123773139123,0.4596016881969936,0.004564635940905875,0.03492938806954061
GSE37587,STEAP3,137.74812360771654,121.90062969433062,0.1749759534455782,0.004881477361583256,0.035797500651610546
GSE37587,EIF2A,344.85240116070156,484.4639089487512,-0.48920757203314835,0.006394946874711513,0.04321440795094758
GSE37587,XRCC1,209.17490473470096,178.3852865941158,0.22852885572003268,0.006510239322717924,0.04321440795094758
GSE37587,HMGB1,224.9773390238867,348.021860888409,-0.6271392954367351,0.0066294830379294584,0.04321440795094758
GSE37587,CXCL10,116.39299005969944,162.92041337626722,-0.481649264946785,0.00699122969173166,0.043944872348027575
GSE37587,XRCC5,458.53898109927576,383.0441339298539,0.25891513212359174,0.007446449041813928,0.04519224246066384
GSE37587,GABARAPL1,663.6151936699289,954.0286509247825,-0.5230247401019082,0.00935919362451995,0.05429631262043555
GSE37587,LIG4,101.00060773461294,146.05735545416726,-0.5278011981438676,0.009581841281829305,0.05429631262043555
GSE37587,CDKN2B,134.58331062217235,163.54578099934872,-0.27930943231000394,0.00987205684007919,0.05429631262043555
GSE37587,TP53,132.27896901491312,112.99299320450646,0.22550399670211876,0.011619930145322758,0.06197296077505471
GSE37587,XRCC6,993.0468680846816,777.3974988730587,0.3528068001885954,0.013001557312643842,0.06730217903015635
GSE37587,CHEK2,121.13005133208333,110.52223875007606,0.1310868057351985,0.013539675220935866,0.06808522396813464
GSE37587,KEAP1,295.28861836944725,257.9506749875521,0.19432588863841294,0.01419651274867702,0.06940517343797653
GSE37587,MYC,407.5782696837152,275.964623480028,0.5609107625924533,0.015957626579889136,0.07590654805568886
GSE37587,BAP1,200.6116321500809,173.52013030491335,0.20818542271307203,0.016683543845829627,0.07727115044384249
GSE37587,FOXO1,418.34787245323935,538.6964858309001,-0.36400075678492744,0.017579649339818877,0.07933380214892621
GSE37587,ATF3,98.3149329226807,108.1891217187076,-0.13674656898477489,0.019776497260128912,0.08701658794456722
GSE37587,MDM4,269.5880178188778,223.62431589990294,0.26858384532282226,0.02116433305410628,0.09085177115909038
GSE37587,ACSL4,695.2024284443614,948.9294390707681,-0.44831350739909803,0.023249320520988482,0.09742572408795173
GSE37587,TIMP1,3658.9988034910125,2497.3744493939735,0.5508534566105665,0.024910138464188897,0.10195777603947083
GSE37587,TNFRSF1A,2545.5342009858928,2047.7234187298407,0.31380986222119206,0.026702351396649667,0.10680940558659867
GSE37587,TERT,103.09192263164103,96.77253985707424,0.09035688655176265,0.028505453234492197,0.11148799487268059
GSE37587,SESN2,89.87454330731313,95.89543323779729,-0.09255246308362593,0.029395088845017358,0.11174065460651722
GSE37587,CREBBP,891.6373912843504,1119.8982613737874,-0.32850919212108776,0.03004075841503297,0.11174065460651722
GSE37587,ATG5,152.59677535022348,177.5260768675839,-0.21698689251354633,0.030474723983595603,0.11174065460651722
GSE37587,HDAC2,788.2843024114425,666.9509998142319,0.24080278465475383,0.0337895730455938,0.1199644140015821
GSE37587,SQSTM1,1669.008461752956,1352.9352326430756,0.3026966854392792,0.034151781333765036,0.1199644140015821
GSE37587,SLC7A11,82.14116975106502,86.42630131894447,-0.07250431920277897,0.034762415420913,0.1199644140015821
GSE37587,DPP4,173.68415695069808,139.80218028967678,0.3110790944334652,0.039727010378986946,0.13446065051349426
GSE37587,ICAM1,99.7695735347766,107.14649633682097,-0.10192683070335683,0.04112851392246821,0.13657770661046048
GSE37587,LPIN2,191.85267912319063,228.77455597976095,-0.2527198622743704,0.044320960149998645,0.14445349974814373
GSE37587,RELA,166.53573070778125,145.25564410682233,0.19597651470514058,0.04697200142138994,0.15031040454844782
GSE37587,MAPK1,1667.8037851298868,1448.155796808829,0.20360162979652632,0.049353639691410836,0.15511143903014835
GSE37587,IGFBP3,103.44247431183595,114.00054355599173,-0.1389321385827291,0.05256978269391427,0.1623207325285774
