dataset,gene,mean_case,mean_control,log2FC,pvalue,padj
GSE97537,MYL4,2400.2532844626644,2205.7318733458483,0.12187624011732158,6.859188542768885e-12,8.596491483374933e-12
GSE97537,NIPSNAP3B,88.79428615870127,111.90117020557815,-0.33036488892520366,6.865953142677151e-12,8.604058753565472e-12
GSE97537,APOD,64.08655422521666,108.71313071850011,-0.7533047580845925,6.9340711213020996e-12,8.688501179612504e-12
GSE97537,DDI2,82.35389558786801,95.82517751513733,-0.21613261533745132,6.985624622917796e-12,8.752172379639152e-12
GSE97537,PDGFRA,96.75709629139963,122.08797226555737,-0.3324164554004361,7.025549522609593e-12,8.801262367458758e-12
GSE97537,LMNA,237.17288666049922,128.84204416419055,0.8752515695306436,7.102044398295881e-12,8.89615018726558e-12
GSE97537,CYP20A1,195.62729730655536,292.8156091939857,-0.5794474207298985,7.287670532921476e-12,9.127703276954007e-12
GSE97537,ZBTB7A,109.74898281315622,86.90800698655246,0.3332269657729346,7.678883486700632e-12,9.616674708199067e-12
GSE97537,MOBP,96.28583707981564,84.77288131325209,0.18170820700563695,7.856814459119306e-12,9.83846658316748e-12
GSE97537,CERS1,104.50775273127486,83.40110812543779,0.3220151666437431,7.938997924212877e-12,9.940327209538404e-12
GSE97537,PSIP1,497.017771799451,552.1106168826653,-0.1513708087670199,8.132152764025804e-12,1.018109757653093e-11
GSE97537,ABCB9,101.0657239395256,165.63407268301958,-0.707184970736491,8.133168576992211e-12,1.0181292855498971e-11
GSE97537,ATP6V1G2,106.21509049791818,138.4861965156496,-0.37961438167385875,8.178158910567717e-12,1.0236530619453734e-11
GSE97537,RNF165,172.16005383689736,243.54581652992138,-0.49799863034762865,8.183572472777712e-12,1.0242224040816076e-11
GSE97537,DTX1,89.66348230830943,117.16096085795216,-0.3821599828225106,8.428282853778337e-12,1.0547378701288236e-11
GSE97537,QSOX2,167.79232088314626,143.89063267823894,0.2202849446366902,8.44407458010912e-12,1.056602421040601e-11
GSE97537,PER1,112.54529596573344,76.94238552125516,0.5427879455723801,8.542608761679287e-12,1.0688190019763782e-11
GSE97537,CPSF6,113.69755265776169,89.96541116654484,0.3344446263654684,8.54759328042737e-12,1.0693296569840516e-11
