source,target,ligand_complex,receptor_complex,lr_means_mcao,cellphone_pvals_mcao,expr_prod_mcao,scaled_weight_mcao,lr_logfc_mcao,spec_weight_mcao,lrscore_mcao,specificity_rank_mcao,magnitude_rank_mcao,lr_means_sham,cellphone_pvals_sham,expr_prod_sham,scaled_weight_sham,lr_logfc_sham,spec_weight_sham,lrscore_sham,specificity_rank_sham,magnitude_rank_sham,magnitude_rank_diff
Microglia,Astrocyte,CCL7,CCR1,2.6351454,0.0,3.6234221,0.3979832038402541,-50.221028928046096,0.3413207,0.7595801,0.0016644670580207134,0.05219672756958736,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.9478032724304126
Microglia,Oligodendrocyte,PSAP,GPR37L1,3.663569,0.0,1.8069665,0.11622560313920646,-56.731599270407855,0.023201616,0.69050777,0.0019320672933500385,0.05452799763107302,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.9454720023689269
Astrocyte,Microglia,CCL2,CCR1,2.535048,0.0,2.007575,0.10383676175031437,3.035773219035203,0.08647563,0.7016428,0.0004679434239999999,0.05452799763107302,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.9454720023689269
Microglia,Microglia,CCL7,CCR1,2.44516,0.0,1.9297441,0.2168396833256322,-39.08771113083597,0.1817789,0.6974877,0.0012135516906943843,0.05811444437806534,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.9418855556219347
Oligodendrocyte,Endothelial,PSAP,GPR37L1,4.5794854,0.0,1.7352893,0.26654903470180896,-61.34563588416736,0.022281274,0.6861662,0.0022836592275694355,0.05811444437806534,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.9418855556219347
Microglia,Pericyte,LGALS3,ENG,2.4278297,0.0,2.374529,0.006665555171235488,35.73472581544471,0.06933582,0.71891147,0.0011502716080207282,0.058722597718326525,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.9412774022816734
Oligodendrocyte,Microglia,PTN,SDC4,2.3583333,0.0,4.819318,0.3601920130769021,-99.11214119641045,0.102839485,0.7846521,0.002851402211301885,0.061184794323327324,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.9388152056766726
Astrocyte,Endothelial,PSAP,GPR37L1,4.217788,0.0,1.5952737,0.2034226516686562,43.49585451216024,0.02048346,0.67703784,0.0023154298441432713,0.0630624503667506,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.9369375496332494
Astrocyte,Astrocyte,CCL4,CCR1,2.306303,1.0,3.0887885,0.151623263266511,-inf,0.054450803,0.7447032,0.16790416095107458,0.0630624503667506,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.9369375496332494
Microglia,Oligodendrocyte,LGALS3,ENG,2.3196027,0.0,1.4429216,-0.06258533937914298,35.16528216771055,0.042133056,0.6659679,0.00262144,0.06885396788161566,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.9311460321183843
