disease,gene,score,efo_id,disease_name,target_name
CIRI,DNAH10,0.29581661296389,EFO_0003763,CIRI_cerebrovascular_disorder,dynein axonemal heavy chain 10
CIRI,CPS1,0.29532184291014935,EFO_0000712,CIRI_stroke,carbamoyl-phosphate synthase 1
CIRI,SCAPER,0.29526386942683663,EFO_0003763,CIRI_cerebrovascular_disorder,S-phase cyclin A associated protein in the ER
CIRI,HCN4,0.295132363165811,EFO_0000712,CIRI_stroke,hyperpolarization activated cyclic nucleotide gated potassium channel 4
CIRI,VIL1,0.2950759648209437,EFO_0003763,CIRI_cerebrovascular_disorder,villin 1
CIRI,MBD5,0.2942356148906268,EFO_0003763,CIRI_cerebrovascular_disorder,methyl-CpG binding domain protein 5
CIRI,EFCAB11,0.2942356148906268,EFO_0003763,CIRI_cerebrovascular_disorder,EF-hand calcium binding domain 11
CIRI,SLC6A2,0.2941123987550188,EFO_0003763,CIRI_cerebrovascular_disorder,solute carrier family 6 member 2
CIRI,SLC8A1,0.29351086680411687,EFO_0003763,CIRI_cerebrovascular_disorder,solute carrier family 8 member A1
CIRI,CYTH3,0.2930008635460183,EFO_0003763,CIRI_cerebrovascular_disorder,cytohesin 3
CIRI,FOXA2,0.2927755877319419,EFO_0003763,CIRI_cerebrovascular_disorder,forkhead box A2
CIRI,SEMA3C,0.292630628470396,EFO_0003763,CIRI_cerebrovascular_disorder,semaphorin 3C
CIRI,PRELID2,0.29244631365753665,EFO_0003763,CIRI_cerebrovascular_disorder,PRELI domain containing 2
CIRI,OPN5,0.29170667883368423,EFO_0003763,CIRI_cerebrovascular_disorder,opsin 5
CIRI,HTR1A,0.2916129768143858,EFO_0003763,CIRI_cerebrovascular_disorder,5-hydroxytryptamine receptor 1A
CIRI,REEP1,0.2908243422469978,EFO_0003763,CIRI_cerebrovascular_disorder,receptor accessory protein 1
CIRI,FTO,0.2907529578034596,EFO_0003763,CIRI_cerebrovascular_disorder,FTO alpha-ketoglutarate dependent dioxygenase
CIRI,DIPK1A,0.2907201245810565,EFO_0003763,CIRI_cerebrovascular_disorder,divergent protein kinase domain 1A
CIRI,TNFRSF10C,0.2905334611588815,EFO_0003763,CIRI_cerebrovascular_disorder,TNF receptor superfamily member 10c
CIRI,NMNAT2,0.29018912565773364,EFO_0003763,CIRI_cerebrovascular_disorder,nicotinamide nucleotide adenylyltransferase 2
CIRI,GUCY1B1,0.29001752485674515,EFO_0000712,CIRI_stroke,guanylate cyclase 1 soluble subunit beta 1
CIRI,GUCY1A2,0.29001752485674515,EFO_0003763,CIRI_cerebrovascular_disorder,guanylate cyclase 1 soluble subunit alpha 2
CIRI,SLC24A3,0.28960316753574333,EFO_0003763,CIRI_cerebrovascular_disorder,solute carrier family 24 member 3
CIRI,TREX1,0.289389266780609,EFO_0003763,CIRI_cerebrovascular_disorder,three prime repair exonuclease 1
CIRI,SHH,0.28935053899425683,EFO_0003763,CIRI_cerebrovascular_disorder,sonic hedgehog signaling molecule
CIRI,FHAD1,0.2889094313619376,EFO_0003763,CIRI_cerebrovascular_disorder,forkhead associated phosphopeptide binding domain 1
CIRI,PDGFRB,0.28863739262559956,EFO_0003763,CIRI_cerebrovascular_disorder,platelet derived growth factor receptor beta
CIRI,DNTT,0.2883328116259358,EFO_0003763,CIRI_cerebrovascular_disorder,DNA nucleotidylexotransferase
CIRI,SLCO6A1,0.28828815962302523,EFO_0003763,CIRI_cerebrovascular_disorder,solute carrier organic anion transporter family member 6A1
