mirna,gene,support_type,source,score,confidence,confidence_level,download_date
hsa-miR-183-5p,E2F1,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-183-5p,EGR1,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-183-5p,HMOX1,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-183-5p,ZEB1,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-187-3p,BCL6,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-188-5p,HMGB1,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-18a-3p,HIF1A,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-18a-5p,HIF1A,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-18b-5p,HIF1A,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-191-5p,EGR1,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-192-5p,SMARCB1,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-194-5p,MAPK1,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-194-5p,SOCS2,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-195-5p,E2F3,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-195-5p,YAP1,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-196a-5p,HMOX1,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-197-3p,MAPK1,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-199a-3p,MAPK1,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-199a-3p,MAPK14,Non-Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-199a-3p,PTGS2,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-199a-3p,SP1,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-199a-5p,EDN1,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-199a-5p,ERN1,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-199a-5p,HIF1A,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-199a-5p,PTGS2,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-199a-5p,S100A8,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-199a-5p,SP1,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-199b-5p,HIF1A,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-199b-5p,ZEB1,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-19a-3p,SOCS1,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-19a-3p,TNFAIP3,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-19b-3p,SOCS1,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-19b-3p,TNFAIP3,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-200a-3p,BAP1,Functional MTI (Weak),miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-200a-3p,KEAP1,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-200a-3p,KLF6,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
