compound,gene,target_chembl_id,molecule_chembl_id,standard_type,standard_value,standard_units,pchembl_value,source
Curcumin,RBL-2H3,CHEMBL614632,CHEMBL140,IC50,3000.0,nM,5.52,ChEMBL
Curcumin,RCC-ASSOCIATED ANTIGEN G250,CHEMBL3594,CHEMBL140,Ki,4050.0,nM,5.39,ChEMBL
Curcumin,RECEPTOR,CHEMBL5162,CHEMBL140,Potency,316.2,nM,6.5,ChEMBL
Curcumin,RECEPTOR TYROSINE-PROTEIN KINASE ERBB-1,CHEMBL203,CHEMBL140,IC50,8600.0,nM,5.07,ChEMBL
Curcumin,RECTIFYING,CHEMBL240,CHEMBL140,Potency,3162.3,nM,,ChEMBL
Curcumin,REDK,CHEMBL4575,CHEMBL140,IC50,4264.0,nM,5.37,ChEMBL
Curcumin,REDUCTASE,CHEMBL1900,CHEMBL140,IC50,7300.0,nM,5.14,ChEMBL
Curcumin,REGULATORY ERYTHROID KINASE,CHEMBL4575,CHEMBL140,IC50,4264.0,nM,5.37,ChEMBL
Curcumin,RELA,CHEMBL2094258,CHEMBL140,IC50,8000.0,nM,5.1,ChEMBL
Curcumin,RENAL CARCINOMA ANTIGEN NY-REN-32,CHEMBL1293235,CHEMBL140,Potency,1778.3,nM,5.75,ChEMBL
Curcumin,RENAL CELL CARCINOMA-ASSOCIATED ANTIGEN G250,CHEMBL3594,CHEMBL140,Ki,4050.0,nM,5.39,ChEMBL
Curcumin,RESPIRATORY SYNCYTIAL VIRUS,CHEMBL612679,CHEMBL140,EC50,10.0,nM,,ChEMBL
Curcumin,RETICULUM,CHEMBL4693,CHEMBL140,Ki,5800.0,nM,5.24,ChEMBL
Curcumin,RETINAL DEHYDROGENASE 1,CHEMBL3577,CHEMBL140,Potency,8912.5,nM,5.05,ChEMBL
Curcumin,RHODESAIN,CHEMBL4188,CHEMBL140,IC50,7750.0,nM,5.11,ChEMBL
Curcumin,RING FINGER PROTEIN 53,CHEMBL5990,CHEMBL140,Potency,5011.9,nM,5.3,ChEMBL
Curcumin,RING-TYPE E3 UBIQUITIN TRANSFERASE BRCA1,CHEMBL5990,CHEMBL140,Potency,5011.9,nM,5.3,ChEMBL
Curcumin,RNA U TRANSPORTER 1,CHEMBL3885594,CHEMBL140,Potency,5011.9,nM,,ChEMBL
